日期,请求总数,成功,失败,失败率%,消耗积分
2026-07-31,0,0,0,0,0
2026-08-01,0,0,0,0,0
2026-08-02,0,0,0,0,0
2026-08-03,0,0,0,0,0
2026-08-04,0,0,0,0,0
2026-08-05,0,0,0,0,0
2026-08-06,0,0,0,0,0
2026-08-07,0,0,0,0,0
2026-08-08,0,0,0,0,0
2026-08-09,0,0,0,0,0
2026-08-10,0,0,0,0,0
2026-08-11,0,0,0,0,0
2026-08-12,3,2,1,33.33,190
2026-08-13,11397,10003,1394,12.23,1253021
2026-08-14,10461,9102,1359,12.99,1196475
2026-08-15,8452,8012,440,5.21,990242
2026-08-16,8250,7910,340,4.12,906800
2026-08-17,8140,7784,356,4.37,553405
2026-08-18,11814,10360,1454,12.31,657272
2026-08-19,12615,11128,1487,11.79,951950
2026-08-20,5465,5021,444,8.12,429853
2026-08-21,5533,5343,190,3.43,228315
2026-08-22,11783,11422,361,3.06,674515
2026-08-23,11996,11736,260,2.17,1413860
2026-08-24,11818,11360,458,3.88,1610378
2026-08-25,12730,11695,1035,8.13,1615215
2026-08-26,11160,10876,284,2.54,1448135
2026-08-27,10927,10517,410,3.75,1102924
2026-08-28,10672,9973,699,6.55,832100
2026-08-29,5353,5135,176,3.29,427920
